From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment;;;;
7557;1574;sea;5390;-1;-1;-1;-1;;Buru-Seram;;;;
7557;7369;sea;4899;-1;-1;-1;-1;;Buru-Taliabu;;;;
10342;1437;sea;4899;-1;-1;-1;-1;;Obi-Bacan;;;;
7413;1437;sea;4899;-1;-1;-1;-1;;Halmahera-Bacan;;;;
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen;;;;
10251;1329;sea;430;5112;550;5122;559;;Papua-New;Britain;;;
7251;4421;sea;7010;-1;-1;-1;-1;;New;Britain-Latangai;;;
4268;4231;sea;5741;-1;-1;-1;-1;;New;Caledonia;1;;
12632;1814;sea;5637;-1;-1;-1;-1;;North-South;NZ;Islands;;
10231;10248;sea;430;-1;-1;-1;-1;;New;Guinea-Fergusson;;;
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia;;;;
1042;7437;sea;6819;-1;-1;-1;-1;;San;Cristobal-Guadalcanal;;;
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda;;;;
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul;;;;
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa;Isabel;;;
4252;1085;sea;5868;-1;-1;-1;-1;;Santa;Isabel-Malaita;;;
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal;;;;
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia;;;;
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska;;;;
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu;;;;
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku;;;;
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai;;;;
1399;1515;sea;220;-1;-1;-1;-1;;Kurils;1;;;
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils;2;;;
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido;;;;
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado;;;;
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku;;;;
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima;;;;
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea;;;;
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa;1;;;
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa;2;;;
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian;;;;
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska;;;;
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak;;;;
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui;;;;
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu;;;;
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai;;;;
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea;;;;
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan;Islands;;;
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua;Levu;;;
13055;13057;sea;8419;-1;-1;-1;-1;;Nukufetau-Nukulaelae;;;;
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin;;;;
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo;Island;;;
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia;;;;
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad;;;;
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad;;;;
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St;Vincent;;;
379;11350;sea;5533;-1;-1;-1;-1;;St;Vincent-Barbados;;;
379;13009;sea;5533;-1;-1;-1;-1;;St;Vincent-St;Lucia;;
13009;177;sea;5533;-1;-1;-1;-1;;St;Lucia-Martinique;;;
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica;;;;
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe;;;;
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat;;;;
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla;;;;
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin;Islands;;;
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto;Rico-Virgin;Islands;;
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus;;;;
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus;;;;
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece;;;;
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey;;;;
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey;;;;
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum;;;;
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey;;;;
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus;;;;
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch;Strait;;;
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru;Strait;;;
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu;;;;
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait;;;;
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait;;;;
3691;7813;sea;6261;-1;-1;-1;-1;;Cold;Ass-Strait;;;
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait;;;;
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait;;;;
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits;;;;
6062;6205;sea;3590;-1;-1;-1;-1;;West;Scottish-Strait;;;
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan;Isle-Strait;;;
7304;4360;sea;8614;-1;-1;-1;-1;;New;Foundland-Strait;;;
7909;7342;sea;5960;-1;-1;-1;-1;;Shiro;GeorgeTown-Strait;;;
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar;North;;;
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar;South;;;
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund;;;;
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus;;;;
2800;2776;;-1;-1;-1;-1;-1;REDSEA_STRAIT;RedSea;;;;
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
2098;12860;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
2014;12860;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
2014;8010;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
2014;4435;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
4900;4435;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
4900;12892;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
12807;12892;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
1961;12884;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10802;12884;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10802;7273;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
10802;5042;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
12801;5042;impassable;-1;-1;-1;-1;-1;;Himalayas;;;;
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar;mountains;;;
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad;mountains;;;
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir;mountains;;;
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk;;;;
4135;1048;impassable;-1;-1;-1;-1;-1;;Gibraltar;;;;
4135;10094;impassable;-1;-1;-1;-1;-1;;Gibraltar;;;;
6680;3660;impassable;-1;-1;-1;-1;-1;;Alps;;;;
6678;3660;impassable;-1;-1;-1;-1;-1;;Alps;;;;
9633;3660;impassable;-1;-1;-1;-1;-1;;Alps;;;;
6675;3660;impassable;-1;-1;-1;-1;-1;;Alps;;;;
11587;3660;impassable;-1;-1;-1;-1;-1;;Alps;;;;
11587;3662;impassable;-1;-1;-1;-1;-1;;Alps;;;;
100;3129;impassable;-1;-1;-1;-1;-1;;norway;;;;
100;11101;impassable;-1;-1;-1;-1;-1;;norway;;;;
6184;11101;impassable;-1;-1;-1;-1;-1;;norway;;;;
6184;9170;impassable;-1;-1;-1;-1;-1;;norway;;;;
6184;11198;impassable;-1;-1;-1;-1;-1;;norway;;;;
11101;11198;impassable;-1;-1;-1;-1;-1;;norway;;;;
3059;9047;impassable;-1;-1;-1;-1;-1;;norway;;;;
11037;9047;impassable;-1;-1;-1;-1;-1;;norway;;;;
11037;6216;impassable;-1;-1;-1;-1;-1;;norway;;;;
6136;6216;impassable;-1;-1;-1;-1;-1;;norway;;;;
6136;11037;impassable;-1;-1;-1;-1;-1;;norway;;;;
9135;9227;impassable;-1;-1;-1;-1;-1;;norway;;;;
6114;9227;impassable;-1;-1;-1;-1;-1;;norway;;;;
6114;11206;impassable;-1;-1;-1;-1;-1;;norway;;;;
6118;11206;impassable;-1;-1;-1;-1;-1;;norway;;;;
6118;6114;impassable;-1;-1;-1;-1;-1;;norway;;;;
3105;6207;impassable;-1;-1;-1;-1;-1;;norway;;;;
3183;6207;impassable;-1;-1;-1;-1;-1;;norway;;;;
11118;6207;impassable;-1;-1;-1;-1;-1;;norway;;;;
11118;3111;impassable;-1;-1;-1;-1;-1;;norway;;;;
115;9066;impassable;-1;-1;-1;-1;-1;;norway;;;;
11173;9066;impassable;-1;-1;-1;-1;-1;;norway;;;;
11173;168;impassable;-1;-1;-1;-1;-1;;norway;;;;
3098;168;impassable;-1;-1;-1;-1;-1;;norway;;;;
3098;6185;impassable;-1;-1;-1;-1;-1;;norway;;;;
9069;9171;impassable;-1;-1;-1;-1;-1;;norway;;;;
9208;9171;impassable;-1;-1;-1;-1;-1;;norway;;;;
9208;9095;impassable;-1;-1;-1;-1;-1;;norway;;;;
6111;9095;impassable;-1;-1;-1;-1;-1;;norway;;;;
6111;6152;impassable;-1;-1;-1;-1;-1;;norway;;;;
173;6152;impassable;-1;-1;-1;-1;-1;;norway;;;;
173;9175;impassable;-1;-1;-1;-1;-1;;norway;;;;
6214;9175;impassable;-1;-1;-1;-1;-1;;norway;;;;
6214;11058;impassable;-1;-1;-1;-1;-1;;norway;;;;
9126;11058;impassable;-1;-1;-1;-1;-1;;norway;;;;
9126;6155;impassable;-1;-1;-1;-1;-1;;norway;;;;
3132;6155;impassable;-1;-1;-1;-1;-1;;norway;;;;
3034;6155;impassable;-1;-1;-1;-1;-1;;norway;;;;
192;6155;impassable;-1;-1;-1;-1;-1;;norway;;;;
192;6055;impassable;-1;-1;-1;-1;-1;;norway;;;;
3145;6055;impassable;-1;-1;-1;-1;-1;;norway;;;;
6130;6055;impassable;-1;-1;-1;-1;-1;;norway;;;;
6130;9083;impassable;-1;-1;-1;-1;-1;;norway;;;;
9181;3133;impassable;-1;-1;-1;-1;-1;;finland;;;;
9181;11046;impassable;-1;-1;-1;-1;-1;;finland;;;;
9181;11156;impassable;-1;-1;-1;-1;-1;;finland;;;;
6210;11156;impassable;-1;-1;-1;-1;-1;;finland;;;;
6210;2998;impassable;-1;-1;-1;-1;-1;;finland;;;;
6210;80;impassable;-1;-1;-1;-1;-1;;finland;;;;
3185;80;impassable;-1;-1;-1;-1;-1;;finland;;;;
6045;9074;impassable;-1;-1;-1;-1;-1;;finland;;;;
3073;9074;impassable;-1;-1;-1;-1;-1;;finland;;;;
3073;6175;impassable;-1;-1;-1;-1;-1;;finland;;;;
7;6175;impassable;-1;-1;-1;-1;-1;;finland;;;;
7;6134;impassable;-1;-1;-1;-1;-1;;finland;;;;
6098;6175;impassable;-1;-1;-1;-1;-1;;finland;;;;
6098;9119;impassable;-1;-1;-1;-1;-1;;finland;;;;
11054;9119;impassable;-1;-1;-1;-1;-1;;finland;;;;
6045;9158;impassable;-1;-1;-1;-1;-1;;finland;;;;
6128;11085;impassable;-1;-1;-1;-1;-1;;finland;;;;
11030;11085;impassable;-1;-1;-1;-1;-1;;finland;;;;
6128;74;impassable;-1;-1;-1;-1;-1;;finland;;;;
6128;6183;impassable;-1;-1;-1;-1;-1;;finland;;;;
3097;6183;impassable;-1;-1;-1;-1;-1;;finland;;;;
9116;6183;impassable;-1;-1;-1;-1;-1;;finland;;;;
11128;9039;impassable;-1;-1;-1;-1;-1;;finland;;;;
11128;178;impassable;-1;-1;-1;-1;-1;;finland;;;;
6181;178;impassable;-1;-1;-1;-1;-1;;finland;;;;
9201;11088;impassable;-1;-1;-1;-1;-1;;finland;;;;
9201;3012;impassable;-1;-1;-1;-1;-1;;finland;;;;
6172;9078;impassable;-1;-1;-1;-1;-1;;finland;;;;
2994;9078;impassable;-1;-1;-1;-1;-1;;finland;;;;
2994;40;impassable;-1;-1;-1;-1;-1;;finland;;;;
9118;40;impassable;-1;-1;-1;-1;-1;;finland;;;;
11096;11054;impassable;-1;-1;-1;-1;-1;;finland;;;;
11096;6096;impassable;-1;-1;-1;-1;-1;;finland;;;;
11096;134;impassable;-1;-1;-1;-1;-1;;finland;;;;
9162;176;impassable;-1;-1;-1;-1;-1;;finland;;;;
9198;176;impassable;-1;-1;-1;-1;-1;;finland;;;;
3067;176;impassable;-1;-1;-1;-1;-1;;finland;;;;
3067;36;impassable;-1;-1;-1;-1;-1;;finland;;;;
6076;203;impassable;-1;-1;-1;-1;-1;;finland;;;;
6076;167;impassable;-1;-1;-1;-1;-1;;finland;;;;
2992;167;impassable;-1;-1;-1;-1;-1;;finland;;;;
2992;3069;impassable;-1;-1;-1;-1;-1;;finland;;;;
2992;103;impassable;-1;-1;-1;-1;-1;;finland;;;;
3115;82;impassable;-1;-1;-1;-1;-1;;finland;;;;
3115;3026;impassable;-1;-1;-1;-1;-1;;finland;;;;
3115;3153;impassable;-1;-1;-1;-1;-1;;finland;;;;
3115;3073;impassable;-1;-1;-1;-1;-1;;finland;;;;
3012;11088;impassable;-1;-1;-1;-1;-1;;finland;;;;
9059;11088;impassable;-1;-1;-1;-1;-1;;finland;;;;
9059;9165;impassable;-1;-1;-1;-1;-1;;finland;;;;
9059;98;impassable;-1;-1;-1;-1;-1;;finland;;;;
6140;98;impassable;-1;-1;-1;-1;-1;;finland;;;;
1796;12448;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
1796;1551;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
1796;4873;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
1796;10575;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4655;12448;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4655;10575;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4655;12612;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12331;12448;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12331;4612;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12331;7048;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12331;10424;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12331;4525;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12609;4525;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12609;2087;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10629;2087;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10629;4960;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10629;1959;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
8055;1959;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
8055;10854;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10724;10854;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10724;8081;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
8127;8081;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
8127;3742;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7511;3742;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7511;1630;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7511;5057;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12776;5057;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12776;12327;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
5031;12327;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
5031;5100;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10770;5100;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
2028;5100;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
2028;2099;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
2028;5076;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7971;5076;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7971;12596;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7971;12820;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7971;1778;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7727;1778;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
7727;1781;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4786;1781;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4786;7864;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4786;12541;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10689;12541;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10689;7806;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12669;7806;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
12669;4729;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10632;4729;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10632;12686;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
10632;1787;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4856;1787;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
4856;12612;impassable;-1;-1;-1;-1;-1;;gobi;desert;;;
8118;2059;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
8118;12894;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
8118;4932;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12768;12894;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12768;4976;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12768;5093;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
8030;4976;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
8030;4924;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
8030;5006;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
10870;5006;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
10870;10786;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
10870;8060;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
10870;5093;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
5081;12727;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
5081;5024;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
5081;4932;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
5081;10791;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
5081;5093;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;2059;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;2018;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;5049;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;2048;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;8108;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
12740;4932;impassable;-1;-1;-1;-1;-1;;saudi;arabia;;;
7378;7305;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7378;7333;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7378;4346;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7378;7349;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7378;7362;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7378;4317;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;4418;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;10974;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;4317;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;4289;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;12135;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
7409;1242;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12931;4418;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12931;12237;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12931;12193;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12931;1242;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12931;1222;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
5135;12193;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
5135;12154;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
5135;7614;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
5135;1222;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12428;7614;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12428;4393;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12428;1389;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
12428;12240;impassable;-1;-1;-1;-1;-1;;papua;newguinea;;;
